Dokumentas,Skyrius,Dalykas,Klasė,Turinio tema,Nr,Sritis-tema,Mokymosi turinys
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.1. ,'Lietuva iki valstybės. ','Aptariami pirmieji Lietuvos gyventojai: seniausi archeologiniai radiniai dabartinės Lietuvos (ar gyvenamosios vietovės) teritorijoje. Apsilankymas priešistorei skirtose ekspozicijose (ar virtualių parodų apžiūra) Lietuvos muziejuose. Baltų gyvensenos rekonstrukcija. Aiškinamasi Lietuvos vardo kilmė ir pirmasis jo paminėjimas 1009 m. Aptariama mokslininkių Marijos Gimbutienės ir Rimutės Rimantienės tyrimų reikšmė minimoje temoje. Apibūdinamos baltų ir priešistorės sąvokos.'
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.2. ,'Lietuva kaip karalystė ir kunigaikštystė XIII–XVI a. ',"'Susipažįstama su karaliumi Mindaugu: asmenybės vaidmuo istorijoje. Lietuvos Karaliaus Mindaugo karūnavimo šventės (Liepos 6-osios) atsiradimo istorija. Gediminaičių dinastija LDK: genealoginio medžio pildymas. Nagrinėjama LDK istorija, valdant Jogailai ir Vytautui Didžiajam. Aptariama tokių istorinių asmenybių kaip Algirdas, Jogaila, Gediminas, Kęstutis, Mindaugas, Morta ir Vytautas Didysis reikšmė Lietuvos valstybingumui. Aiškinamasi dinastijos, krikšto, monarchijos sąvokų reikšmė aptariamos temos kontekste.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.3. ,'Lietuvos ir Lenkijos bendra valstybė XVI a. vid.–XVIII a. pab. ',"'Analizuojama Liublino unija (1569 m.): kaip veikia dvi valstybės vienoje Respublikoje. Tyrinėjama pasirinktos didikų giminės istorija ir reikšmė LDK politiniame ir kultūriniame gyvenime (atsižvelgiant į gyvenamosios vietovės pavyzdžius). Aptariamos istorinės asmenybės: Barbora Radvilaitė, Žygimantas Augustas. Aiškinamasi unijos sąvokos reikšmė.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.4. ,'Lietuvos ir Lenkijos bendros valstybės padalijimai; Lietuva Rusijos imperijos sudėtyje XVIII a. pab.–XX a.pr. ',"'Nagrinėjami valstybės padalijimai ir XVIII a. pab.–XIX a. sukilimai dėl Abiejų Tautų Respublikos (ATR) atkūrimo. Pasirinkto (-os) XVIII–XIX a. ATR idėją gynusio sukilėlio ar sukilėlės biografijos aptarimas. Nagrinėjama kova dėl lietuvių kalbos Rusijos imperijoje: spaudos lotyniškais rašmenimis draudimas ir knygnešystės reiškinys. Aptariama laisvo žodžio svarba ir laikraščių „Aušra“, „Varpas“, „Tėvynės sargas“ reikšmė. Nagrinėjamas Jono Basanavičiaus, Vinco Kudirkos ir Motiejaus Valančiaus istorinis vaidmuo. Apibūdinamos knygnešio ir sukilimo sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.5. ,'Lietuvos Respublika (1918–1940 m.). ',"'Nagrinėjama 1918 m. Vasario 16-osios Aktas (Nepriklausomybės Aktas) ir demokratinės valstybės kūrimas. Išskiriami svarbiausi Lietuvos Respublikos pasiekimai. Aptariama tokių istorinių asmenybių kaip Jono Basanavičiaus, Felicijos Bortkevičienės, Kazio Griniaus, Antano Smetonos, Gabrielės Petkevičaitės-Bitės, Aleksandro Stulginskio veikla ir vaidmuo Lietuvos Respublikoje. Aptariamos Nepriklausomybės Akto, demokratijos, konstitucijos, parlamento, respublikos, signataro sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.6. ,'Antrasis pasaulinis karas (1939–1945 m.) Lietuvos vaikų istorijose. ',"'Nagrinėjama sovietinė Lietuvos okupacija. Sibiro tremčių istorija per ištremtų vaikų liudijimus ir prisiminimus. Tremties istorijos artimiausioje aplinkoje nagrinėjimas. Susipažįstama su projektu „Misija Sibiras“. Nagrinėjama nacistinė Lietuvos okupacija. Holokausto Lietuvoje istorija. Analizuojami išgyvenusių vaikų prisiminimai ir liudijimai iš Vilniaus ir Kauno getų. Holokausto atminties vietų artimoje aplinkoje istorijos pažinimas ir apsilankymas jose. Apibrėžiamos geto, Holokausto, okupacijos, tremtinio sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.7. ,'XX a. pirmosios pusės Lietuvos herojai: nuo nežinomo kario iki Onos Šimaitės ir Jono Žemaičio-Vytauto. ',"'Susipažįstama su 1918–1920 m. Lietuvos nepriklausomybės karo savanoriais ir kariais. Nežinomo kareivio kapo Kaune istorijos aptarimas. Savanorių ir karių kapai artimiausioje aplinkoje, jų aptarimas ir lankymas. Susipažįstama su 1941–1944 m. Lietuvos žydų gelbėtojais ir jų istorijomis artimiausioje aplinkoje. Nagrinėjama 1949 m. Lietuvos laisvės kovos sąjūdžio (LLKS) Tarybos Deklaracijos pasirašymo istorija. Partizanų veiklos istorijos artimiausioje aplinkoje aptarimas. Aptariama Onos Šimaitės, Jono Žemaičio-Vytauto, Stepono Dariaus ir Stasio Girėno veikla. Nagrinėjamos deklaracijos, partizano sąvokos.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.8. ,'Okupuota Lietuva: gyvenimas sovietmečiu.',"'Aiškinamasi, kas buvo Sovietų Sąjunga ir ką reiškia sovietmetis bei okupacinis režimas. Nagrinėjama žmogaus teisių ir laisvių varžymas ir pasipriešinimas režimui Sovietų Lietuvoje. Aptariama Nijolės Sadūnaitės, Antano Terlecko antisovietinė veikla. Apibūdinama sovietmečio sąvoka.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.9. ,'Kelias į nepriklausomybę ir Lietuvos Respublika XX–XXI a. sandūroje. ',"'Nagrinėjama Sąjūdžio istorija Lietuvoje: mitingai, maršai ir laisvės siekis. Sąjūdžio laikotarpio istorijos artimiausioje aplinkoje aptarimas. Analizuojamas apsisprendimas ir pasiryžimas atkurti nepriklausomybę: 1990 m. Kovo 11-osios Aktas, sovietų ekonominė blokada ir atsilaikymas prieš agresiją 1991 m. sausio 13-ąją. 1991-ųjų liudijimų artimiausioje aplinkoje aptarimas. Aptariama Vytauto Landsbergio, Laisvės gynėjų, žuvusiųjų 1991 m. sausio 13-ąją reikšmė Lietuvos valstybingumo atkūrime ir gynime. Aiškinamasi Baltijos kelio, blokados, mitingo, Sąjūdžio, signataro sąvokų reikšmė.'"
Bendroji ugdymo programa,Mokymosi turinys,Istorija,5,'23.2. Lietuvos istorijos pradžiamokslis',23.2.10. ,"'Lietuva ir lietuvybė pasaulyje. Analizuojami XX a. lietuvybės centrai už Lietuvos ribų. Pasirinktinai, Čikaga ar kitas išeivijos lietuviams svarbus miestas. '","'Aiškinamasi litvakų kultūros sklaida pasaulyje XIX–XX a. pradžioje. Nagrinėjami žymiausių litvakų pasiekimai (Nobelio premijos laureatai, išradėjai ir t.t.). Aptariamos emigracijos, litvakų sąvokos'"
